,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,0.5703548146522798,0.4496922027911376,0.5559328861721081,0.4358244541524494,0.4145331733438523,0.5289071325653245,0.42680255844391607,0.36610987381708787
pi:2,0.7313077296335567,0.7010054366538717,0.694780293492129,0.7003173162796763,0.6937861892006545,0.7010125533349968,0.6566611125141145,0.6952330075688163
2:3pi,0.7131926013295302,0.7132767675325746,0.7017973616807834,0.7090129720208455,0.6825128427434003,0.6984309720234517,0.6634522850787256,0.707229930601032
45pi,0.7028216903754748,0.7134126125238518,0.6968175068372223,0.7087865226525858,0.6759027681138455,0.6915920460928674,0.6483758819852893,0.7134321134516493
pi,0.5431368343754798,0.5814618443299766,0.5883924854705936,0.5916669093887145,0.5197510736115578,0.6233839503878342,0.5505377225711275,0.5660736814899056
