week,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
19_02,39.799137115478516,42.75837707519531,36.56739807128906,37.32423782348633,37.20350646972656,38.6689453125,40.1185188293457,34.45203399658203
19_03,38.30350875854492,41.6318244934082,35.099388122558594,36.08624267578125,35.984771728515625,37.52899169921875,38.772438049316406,33.27606201171875
19_04,40.1903076171875,43.65449523925781,36.52480697631836,37.18080139160156,37.167301177978516,39.2484130859375,40.21923828125,35.14329528808594
19_05,41.06549835205078,43.90465545654297,37.39902877807617,37.839744567871094,37.56352233886719,39.721168518066406,40.255592346191406,35.82304763793945
19_06,40.7984504699707,43.27252197265625,36.91287612915039,37.251583099365234,37.58930969238281,39.40143585205078,40.2784423828125,35.28767395019531
19_07,40.798194885253906,43.067893981933594,36.741153717041016,36.85984420776367,37.418148040771484,39.3903923034668,39.87946701049805,34.66832733154297
19_08,39.34264373779297,41.194419860839844,35.151100158691406,35.8204231262207,35.99995040893555,37.21083450317383,38.15995407104492,33.6750373840332
19_09,39.923973083496094,42.685211181640625,36.24614715576172,36.079010009765625,36.77558898925781,38.34907913208008,39.000858306884766,34.135738372802734
19_10,36.759098052978516,39.25548553466797,33.4385986328125,33.379356384277344,33.59794616699219,35.400543212890625,36.45210647583008,31.846172332763672
19_11,41.00102996826172,43.34486770629883,37.23478698730469,37.420162200927734,37.27986145019531,39.2193489074707,39.883941650390625,35.333580017089844
19_12,38.7385139465332,41.03853225708008,34.78921890258789,34.8377571105957,35.730594635009766,36.662574768066406,37.31544494628906,32.25324630737305
19_13,37.74688720703125,40.065460205078125,34.09381866455078,34.31858444213867,34.926822662353516,36.16340637207031,36.8316650390625,32.409000396728516
19_14,33.22152328491211,35.82536697387695,30.081270217895508,30.15599250793457,30.702735900878906,31.62841796875,32.66599655151367,28.644676208496094
19_15,36.854190826416016,39.55188751220703,33.16951370239258,33.57573318481445,33.915550231933594,35.334327697753906,36.59115219116211,32.126197814941406
19_16,30.919130325317383,33.00890350341797,28.475725173950195,28.29461669921875,29.347414016723633,29.948476791381836,30.638132095336914,26.620805740356445
19_17,33.231746673583984,36.084659576416016,30.065832138061523,30.492919921875,31.145524978637695,32.10111618041992,32.72795486450195,29.23935890197754
19_18,28.844362258911133,30.633499145507812,25.701820373535156,25.912151336669922,26.57771873474121,27.530364990234375,27.765830993652344,24.431827545166016
19_19,35.63980484008789,37.61304473876953,32.12318801879883,32.230918884277344,33.09321212768555,34.13610076904297,34.729434967041016,30.825191497802734
19_20,43.52059555053711,45.822967529296875,38.54965591430664,39.52565383911133,39.37412643432617,41.05605697631836,41.818931579589844,37.730201721191406
19_21,34.54311752319336,35.95425796508789,30.84328842163086,31.18346405029297,30.730018615722656,32.6738395690918,33.43231201171875,29.33893585205078
19_22,33.0678825378418,35.65526580810547,29.649248123168945,30.003753662109375,29.816726684570312,32.08726119995117,32.42881393432617,28.55469512939453
19_23,37.5936164855957,38.785926818847656,33.48481369018555,33.842796325683594,33.91527557373047,35.081539154052734,36.31680679321289,31.684297561645508
19_24,34.16930389404297,34.88106155395508,29.739154815673828,29.780092239379883,29.83270263671875,31.433547973632812,32.570892333984375,28.236351013183594
19_25,38.24956130981445,40.02797317504883,34.251285552978516,33.76799774169922,33.84624099731445,35.77581024169922,37.643165588378906,32.35887908935547
19_26,42.866268157958984,44.2200927734375,37.295169830322266,37.63654327392578,38.31938171386719,40.07414245605469,41.602821350097656,36.11353302001953
19_27,36.177494049072266,37.11969757080078,31.261333465576172,30.867111206054688,32.301177978515625,33.65414047241211,35.44010925292969,29.992464065551758
19_28,35.800331115722656,37.29031753540039,31.302091598510742,32.09022521972656,32.93951416015625,33.67839431762695,36.348289489746094,30.677316665649414
19_29,42.28343200683594,44.43300247192383,37.7503776550293,37.376033782958984,38.53909683227539,40.68775177001953,42.65243148803711,36.61130905151367
19_30,36.66298294067383,38.74843215942383,32.806976318359375,32.631710052490234,32.782981872558594,34.424320220947266,36.343902587890625,31.555625915527344
19_31,44.2541389465332,46.16830062866211,38.87144088745117,39.16380310058594,40.453765869140625,41.4796257019043,43.75898742675781,38.13349533081055
19_32,45.310760498046875,47.97893142700195,40.87680435180664,41.44184112548828,42.050331115722656,43.11423110961914,45.59587478637695,39.459354400634766
19_33,38.85866165161133,41.309268951416016,34.082271575927734,35.14635467529297,35.42776107788086,37.25822448730469,38.92105484008789,33.53390884399414
19_34,39.32473373413086,41.503517150878906,35.026641845703125,36.176605224609375,36.32343292236328,37.23163986206055,39.399993896484375,33.78866195678711
19_35,34.032188415527344,35.652042388916016,30.475624084472656,30.836206436157227,31.180702209472656,32.55809020996094,33.342830657958984,29.878124237060547
19_36,33.507041931152344,35.73809814453125,30.273157119750977,30.54210090637207,31.301395416259766,32.556488037109375,33.17776870727539,29.40049934387207
19_37,39.17408752441406,41.058109283447266,34.83589172363281,36.3546142578125,35.95817565917969,36.649391174316406,38.25554656982422,33.26942825317383
19_38,34.379981994628906,35.9586067199707,30.468170166015625,31.140405654907227,31.3640079498291,32.24098205566406,33.581398010253906,28.5689754486084
19_39,32.799522399902344,34.383968353271484,28.872100830078125,29.880441665649414,29.430089950561523,30.5542049407959,32.012977600097656,27.52358627319336
19_40,32.78612518310547,34.321563720703125,29.40821075439453,30.011045455932617,30.038265228271484,31.267650604248047,31.704545974731445,27.942407608032227
19_41,27.652259826660156,29.122055053710938,24.986129760742188,24.811933517456055,24.869041442871094,26.150299072265625,27.23231315612793,23.344192504882812
19_42,32.61091613769531,33.41164016723633,27.806598663330078,28.842153549194336,29.434057235717773,29.88242530822754,31.482147216796875,26.645357131958008
19_43,34.910499572753906,36.90013122558594,31.333097457885742,31.736167907714844,31.858375549316406,33.096290588378906,34.047889709472656,30.064830780029297
19_44,29.077037811279297,30.00347900390625,25.878114700317383,25.240062713623047,26.31182289123535,27.173171997070312,28.390926361083984,23.077259063720703
19_45,32.08417510986328,33.70226287841797,29.052143096923828,28.670372009277344,29.387271881103516,30.314594268798828,30.757829666137695,27.652616500854492
19_46,33.09247589111328,34.558067321777344,29.656652450561523,29.08238983154297,30.443403244018555,31.212261199951172,31.661344528198242,27.68572998046875
19_47,27.838329315185547,28.515897750854492,24.42070770263672,24.346237182617188,25.447423934936523,25.5494384765625,26.710174560546875,22.53910255432129
19_48,27.33653450012207,28.310888290405273,24.153217315673828,24.226642608642578,25.17864418029785,26.22109031677246,26.41960906982422,23.05426025390625
19_49,29.326875686645508,30.992137908935547,27.13680076599121,26.34002113342285,27.526830673217773,27.699567794799805,28.301864624023438,25.28706169128418
19_50,29.140344619750977,30.58709144592285,25.686540603637695,25.722259521484375,27.161052703857422,27.426233291625977,28.195932388305664,24.576786041259766
19_51,31.048002243041992,33.17658615112305,28.442975997924805,28.124887466430664,29.13157081604004,29.801347732543945,30.221942901611328,26.641876220703125
19_52,26.746206283569336,27.97360610961914,24.194215774536133,23.54532241821289,24.546724319458008,25.05954360961914,25.680767059326172,22.417627334594727
