week,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
19_02,50.79554748535156,48.90178680419922,47.98790740966797,49.99498748779297,50.11943435668945,48.37498092651367,51.06987762451172,47.43070983886719
19_03,51.52363204956055,52.54878616333008,51.87485122680664,54.29185104370117,51.67536544799805,53.0450553894043,51.102046966552734,51.41138458251953
19_04,49.31439971923828,50.67557144165039,48.86378860473633,48.473602294921875,49.89323806762695,48.89870071411133,48.470279693603516,50.49018859863281
19_05,51.55994415283203,52.485633850097656,51.61100387573242,50.45222854614258,50.919700622558594,50.337928771972656,51.72970199584961,51.682769775390625
19_06,50.756832122802734,51.30231857299805,50.08378601074219,52.68994140625,52.5680046081543,49.875633239746094,51.80940628051758,51.423011779785156
19_07,47.01169204711914,47.611114501953125,47.49272537231445,46.99466323852539,48.41796875,48.41366195678711,46.046226501464844,46.877906799316406
19_08,48.4938850402832,48.21268844604492,47.85387420654297,48.47754669189453,47.28416442871094,48.294822692871094,50.9979133605957,47.57562255859375
19_09,50.79510498046875,52.443851470947266,52.385887145996094,52.00175094604492,51.18888854980469,53.41650390625,50.91035079956055,49.99943542480469
19_10,47.9850959777832,46.4586067199707,46.837379455566406,47.583106994628906,46.722904205322266,46.718379974365234,44.71088409423828,48.156742095947266
19_11,52.44487380981445,53.79694366455078,51.87172317504883,51.57130813598633,51.737144470214844,50.506385803222656,50.89724349975586,50.45180130004883
19_12,49.070579528808594,48.42021179199219,48.487945556640625,48.06900405883789,47.56073760986328,48.507747650146484,49.60884094238281,51.15964889526367
19_13,44.11982345581055,45.32820129394531,45.83474349975586,45.87984848022461,46.07814025878906,46.79060363769531,46.875911712646484,45.33161926269531
19_14,41.129783630371094,40.14528274536133,41.6860237121582,42.88142013549805,41.71363830566406,42.14992904663086,43.09885787963867,42.08921432495117
19_15,46.39864730834961,44.399837493896484,48.70164489746094,46.08625411987305,45.81039810180664,45.633338928222656,44.50761032104492,47.486839294433594
19_16,41.33842086791992,40.793701171875,41.3230094909668,40.596248626708984,42.62664031982422,42.07488250732422,41.14939498901367,38.24472427368164
19_17,44.1104736328125,46.62980270385742,43.21202087402344,44.11909484863281,44.808658599853516,45.13258743286133,45.72269058227539,46.816986083984375
19_18,36.98588943481445,38.367305755615234,39.54917526245117,37.89697265625,37.72460174560547,38.84442901611328,39.50150680541992,38.10741424560547
19_19,46.06711959838867,42.53090286254883,40.69424819946289,43.34956359863281,43.22135925292969,43.043907165527344,44.12947463989258,43.08821487426758
19_20,49.49540710449219,47.859493255615234,49.996971130371094,47.795650482177734,47.16191482543945,47.18952941894531,48.936222076416016,46.622615814208984
19_21,40.59540939331055,42.51074981689453,42.40852737426758,41.16585159301758,43.29107666015625,40.573604583740234,40.728759765625,40.87059020996094
19_22,43.796634674072266,45.85490798950195,46.62624740600586,42.42862319946289,44.78430938720703,44.23180389404297,46.55557632446289,45.82062530517578
19_23,47.048465728759766,45.600433349609375,46.07486343383789,45.49238586425781,45.88648986816406,45.08806228637695,46.4380989074707,46.469417572021484
19_24,40.31272888183594,39.66135025024414,42.30522537231445,41.28609085083008,40.518898010253906,40.94832992553711,40.816776275634766,43.30430221557617
19_25,45.76528549194336,48.73808288574219,47.9437370300293,48.97382736206055,47.31959533691406,46.95629119873047,49.44213104248047,47.611026763916016
19_26,45.93723678588867,43.817691802978516,43.498233795166016,45.07211685180664,44.38562774658203,45.24309158325195,44.2072868347168,44.17974853515625
19_27,42.3389778137207,42.268043518066406,42.938018798828125,43.399658203125,44.20999526977539,44.29916763305664,45.17549133300781,44.03425216674805
19_28,46.124488830566406,47.92880630493164,44.14775085449219,45.44794845581055,45.57807159423828,44.48080062866211,45.760231018066406,45.609703063964844
19_29,38.00446319580078,38.99440383911133,37.880836486816406,38.32814407348633,37.50794219970703,37.8436393737793,38.24288558959961,38.10569763183594
19_30,39.56268310546875,39.82040023803711,38.9255485534668,39.055416107177734,38.35377883911133,39.73991775512695,38.18801498413086,40.64918518066406
19_31,46.74038314819336,48.52168655395508,48.73014831542969,49.19935989379883,48.29279708862305,48.84076690673828,48.62007522583008,48.90121841430664
19_32,50.80064392089844,50.08270263671875,50.28607177734375,49.55780029296875,49.92728042602539,52.48286819458008,49.325355529785156,50.126060485839844
19_33,41.52067184448242,42.64998245239258,43.84208679199219,43.59023666381836,42.72853469848633,41.280879974365234,42.626380920410156,41.821876525878906
19_34,44.34096145629883,44.35622787475586,45.750160217285156,43.743980407714844,43.48535919189453,43.83142852783203,43.18076705932617,44.99721908569336
19_35,39.27083206176758,40.73054122924805,37.9089241027832,39.05527114868164,39.463905334472656,38.22896194458008,39.608001708984375,39.58988952636719
19_36,39.3440055847168,40.33164978027344,39.63758850097656,41.43203353881836,40.10259246826172,39.989707946777344,38.81431579589844,38.736454010009766
19_37,47.593711853027344,47.401145935058594,47.317325592041016,47.0580940246582,48.127159118652344,48.76791763305664,47.36483383178711,48.275291442871094
19_38,38.920719146728516,40.49794006347656,39.46208572387695,40.042232513427734,40.59794616699219,40.91064453125,39.389007568359375,39.613285064697266
19_39,43.691688537597656,41.53580093383789,40.723453521728516,42.5636100769043,42.4669075012207,44.2325325012207,42.58295440673828,40.3855094909668
19_40,44.24953842163086,44.18815994262695,43.71729278564453,44.58785629272461,41.95668029785156,42.78861618041992,42.757789611816406,46.20468521118164
19_41,35.949928283691406,36.53422164916992,35.925132751464844,34.759700775146484,34.706016540527344,34.89533233642578,37.87941360473633,35.71902847290039
19_42,44.50001525878906,42.18756103515625,43.41999435424805,41.540653228759766,45.55944061279297,41.54787826538086,42.799888610839844,41.1187858581543
19_43,39.37928771972656,39.01138687133789,39.7813606262207,40.473854064941406,40.01179885864258,38.86339569091797,41.162940979003906,40.18017578125
19_44,36.423179626464844,37.4764404296875,34.258323669433594,36.49219512939453,36.71848678588867,38.04930877685547,36.52124786376953,36.011497497558594
19_45,44.191951751708984,43.39271545410156,44.8858528137207,43.60242462158203,41.0700798034668,42.21351623535156,41.976383209228516,44.19043731689453
19_46,40.242950439453125,40.18050765991211,43.604862213134766,40.32170867919922,40.74382781982422,41.64744567871094,42.11174011230469,41.76149368286133
19_47,40.91044998168945,40.719078063964844,40.932525634765625,38.690956115722656,38.541011810302734,41.59919357299805,39.53949737548828,39.567352294921875
19_48,40.037071228027344,35.65205001831055,36.319358825683594,38.087547302246094,36.97434997558594,36.43152618408203,38.42024230957031,39.473758697509766
19_49,38.321495056152344,40.705997467041016,38.597206115722656,37.15399932861328,36.4644889831543,39.926025390625,35.93473815917969,40.64009094238281
19_50,40.15385818481445,40.55002975463867,39.796630859375,40.370906829833984,41.47953414916992,41.279998779296875,38.15854263305664,39.00142288208008
19_51,40.60641860961914,41.34458541870117,41.1484375,39.67414474487305,39.49942398071289,39.77339553833008,40.88679504394531,38.82208251953125
19_52,33.33768081665039,30.843191146850586,33.40607452392578,31.670135498046875,31.341869354248047,33.108558654785156,33.422698974609375,30.972885131835938
