,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,-0.2544746937541538,-0.27818885692811374,-0.23474306180024826,-0.35974023486604456,-0.33901297010712544,-0.3522277327918512,-0.35969497882945306,-0.3283778015081167
pi:2,-0.13825719178711363,-0.17505034953602472,-0.14364266014150529,-0.17142986660870263,-0.15310117178913435,-0.16427941282724143,-0.13192134666429994,-0.13142353026179313
2:3pi,-0.13517978129888986,-0.184011044781147,-0.13278121135953894,-0.16862399234002795,-0.16464146111997363,-0.14662955855654602,-0.12544973343171162,-0.13658271843322717
45pi,-0.1400221772141832,-0.17251601148689924,-0.1271242067855981,-0.15577127794803441,-0.16513927752248042,-0.1563143503871327,-0.1276220231881049,-0.1398864091044086
pi,-0.36096214785401587,-0.32005069077527587,-0.25311701265640807,-0.3353019751066203,-0.3090082178469433,-0.32493834272716066,-0.3238069418123725,-0.29945919412613126
