,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,0.5703548146522798,0.4496922027911376,0.5559328861721081,0.4358244541524494,0.4145331733438523,0.5289071325653245,0.42680255844391607,0.36610987381708787
pi:2,0.7254656007555083,0.7120088809473213,0.6921545518473422,0.7253173265355375,0.6956424430349815,0.7017824986384401,0.6831014110323332,0.7027933326494957
2:3pi,0.7297679437277146,0.7168087373057807,0.7071393877856946,0.7193390632134838,0.6927448760740808,0.7041376254489725,0.6863158993795825,0.7004392194507213
45pi,0.7150041141599328,0.7140918374802376,0.7049210888099264,0.7199731214446106,0.6805660399415451,0.7015560441374274,0.6716922411237869,0.7099009436534875
pi,0.5298675028927803,0.5617190389310303,0.59749203841201,0.5952900992808683,0.5707754168136682,0.629271767414165,0.5537069364346127,0.5685636089116862
