week,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
19_02,32.59657287597656,36.94871139526367,28.30109405517578,28.632110595703125,28.337562561035156,30.548748016357422,32.42467498779297,24.361103057861328
19_03,31.276187896728516,36.00570297241211,26.8161678314209,27.739362716674805,27.37871742248535,29.72553062438965,31.27446174621582,23.41727638244629
19_04,33.01176452636719,38.11474609375,27.75918197631836,28.37856674194336,28.049846649169922,31.186771392822266,32.45039367675781,24.946378707885742
19_05,34.185752868652344,38.35881805419922,29.0762939453125,29.372713088989258,28.83704376220703,31.63732147216797,32.57572937011719,25.808237075805664
19_06,33.928955078125,37.67430877685547,28.587093353271484,28.46585464477539,28.878419876098633,31.400203704833984,32.57861328125,25.169279098510742
19_07,33.74362564086914,37.11956024169922,28.127723693847656,27.998065948486328,28.64612579345703,31.092838287353516,31.744918823242188,24.481664657592773
19_08,32.6920166015625,35.63044738769531,27.03835678100586,27.617902755737305,27.702049255371094,29.415634155273438,30.670167922973633,24.093311309814453
19_09,33.01604461669922,37.003910064697266,28.163787841796875,27.43082046508789,28.299043655395508,30.604904174804688,31.48163604736328,24.340503692626953
19_10,30.374893188476562,34.17618179321289,25.886592864990234,25.5375919342041,25.841567993164062,27.831804275512695,29.447101593017578,22.741056442260742
19_11,34.09764862060547,37.40826416015625,29.00165557861328,28.834497451782227,28.479110717773438,31.207326889038086,32.09321594238281,25.361339569091797
19_12,32.040470123291016,35.60139465332031,26.623985290527344,26.49274444580078,27.407787322998047,28.817216873168945,29.75741195678711,22.778179168701172
19_13,31.32347297668457,34.666404724121094,26.24445152282715,26.209665298461914,26.922550201416016,28.534908294677734,29.450014114379883,23.13561248779297
19_14,27.285144805908203,31.034738540649414,22.929126739501953,22.837520599365234,23.369844436645508,24.86009979248047,26.153282165527344,20.338624954223633
19_15,30.55380630493164,34.434993743896484,25.48632049560547,25.49102210998535,26.082597732543945,27.849824905395508,29.51119041442871,23.092601776123047
19_16,25.488752365112305,28.377666473388672,21.915855407714844,21.668785095214844,22.758852005004883,23.800466537475586,24.644634246826172,18.996870040893555
19_17,27.29962921142578,31.307735443115234,23.060171127319336,23.09010124206543,24.145280838012695,25.358457565307617,26.310897827148438,21.097713470458984
19_18,24.037099838256836,26.72299575805664,19.9564151763916,19.87285614013672,20.61176872253418,21.995298385620117,22.321441650390625,17.46289825439453
19_19,29.326139450073242,32.62205123901367,24.70376205444336,24.587661743164062,25.657075881958008,27.10091209411621,27.879154205322266,22.1046199798584
19_20,36.44198226928711,40.17353057861328,29.622900009155273,30.55489158630371,30.120891571044922,32.77587890625,33.76949691772461,27.3721981048584
19_21,28.817594528198242,31.065399169921875,23.858060836791992,23.95384407043457,23.466075897216797,26.078529357910156,27.025196075439453,21.20671844482422
19_22,27.590343475341797,31.073291778564453,22.865299224853516,23.040374755859375,22.57401466369629,25.649995803833008,26.104001998901367,20.583675384521484
19_23,31.533641815185547,33.391929626464844,25.736461639404297,26.13486099243164,25.951692581176758,27.76614761352539,29.249319076538086,22.77895736694336
19_24,28.646223068237305,29.968454360961914,22.75192642211914,22.681480407714844,22.445573806762695,24.813215255737305,26.234949111938477,20.11328887939453
19_25,31.994211196899414,34.771480560302734,26.623998641967773,25.571531295776367,25.6424503326416,28.473054885864258,30.74799156188965,23.22648811340332
19_26,35.963260650634766,38.323184967041016,28.535978317260742,28.592233657836914,29.415346145629883,32.10618209838867,34.0540885925293,26.13215446472168
19_27,30.314023971557617,31.98458480834961,23.859039306640625,23.205352783203125,24.827611923217773,26.577606201171875,29.144426345825195,21.617412567138672
19_28,29.773290634155273,32.170528411865234,23.736099243164062,24.52422332763672,25.400400161743164,26.776777267456055,30.048364639282227,22.153324127197266
19_29,35.32624435424805,38.574729919433594,29.03270721435547,28.340057373046875,29.794776916503906,32.847721099853516,35.342002868652344,26.70709991455078
19_30,30.37969970703125,33.76900100708008,25.578685760498047,24.525806427001953,25.032672882080078,27.312402725219727,29.836605072021484,22.7857608795166
19_31,37.08757019042969,40.215003967285156,30.004716873168945,29.8002872467041,31.447954177856445,33.06695556640625,36.00323486328125,27.791440963745117
19_32,37.45914840698242,41.78484344482422,31.605247497558594,31.7729549407959,32.59213638305664,34.20524215698242,37.80648422241211,28.53306007385254
19_33,32.367698669433594,35.81452178955078,25.890966415405273,27.022663116455078,27.434322357177734,29.851186752319336,32.11375045776367,24.467449188232422
19_34,32.38865280151367,35.94518280029297,26.929378509521484,27.638696670532227,28.012155532836914,29.513614654541016,32.160003662109375,24.28310775756836
19_35,28.60417366027832,31.0709285736084,23.714496612548828,23.818464279174805,24.189918518066406,26.047466278076172,27.240304946899414,21.979248046875
19_36,27.7030029296875,31.027387619018555,23.645179748535156,23.3643856048584,24.287931442260742,26.221254348754883,26.996240615844727,21.435144424438477
19_37,32.607181549072266,35.53110122680664,26.817522048950195,28.30535125732422,27.79527473449707,28.98343849182129,31.035980224609375,23.92667579650879
19_38,28.582332611083984,30.95159149169922,23.373300552368164,23.9421443939209,24.246604919433594,25.338741302490234,27.221115112304688,20.219419479370117
19_39,27.332374572753906,29.749576568603516,22.219785690307617,23.268638610839844,22.466455459594727,24.035400390625,25.765806198120117,19.566604614257812
19_40,27.160512924194336,29.660484313964844,22.609209060668945,23.060340881347656,23.220325469970703,24.980897903442383,25.6207332611084,19.90609359741211
19_41,22.68671989440918,25.160369873046875,19.155948638916016,18.85356330871582,18.798952102661133,20.62987518310547,21.998680114746094,16.435991287231445
19_42,27.192432403564453,28.55965805053711,20.758867263793945,21.66526985168457,22.533367156982422,23.445585250854492,25.490861892700195,18.630332946777344
19_43,28.876075744628906,32.0245361328125,24.217830657958984,24.335189819335938,24.626134872436523,26.12049102783203,27.437026977539062,21.779165267944336
19_44,23.9732608795166,25.539892196655273,19.711027145385742,18.76491928100586,20.170970916748047,21.24443244934082,22.904510498046875,15.822182655334473
19_45,26.83835792541504,29.132253646850586,22.670846939086914,21.75905990600586,22.815753936767578,23.996274948120117,24.595821380615234,19.900480270385742
19_46,27.431617736816406,29.75675392150879,22.821426391601562,21.916492462158203,23.583484649658203,24.51059341430664,25.2021427154541,19.495361328125
19_47,23.058183670043945,24.452465057373047,18.59895133972168,18.281780242919922,19.52407455444336,19.716142654418945,21.23310661315918,15.712634086608887
19_48,22.843584060668945,24.151779174804688,18.37423324584961,18.26512908935547,19.46062660217285,20.93461036682129,21.215116500854492,16.3618106842041
19_49,24.30074119567871,26.72148323059082,21.16536521911621,20.154056549072266,21.391916275024414,21.61284828186035,22.55036735534668,18.05122947692871
19_50,23.882793426513672,26.242856979370117,19.783620834350586,19.351064682006836,20.94625473022461,21.52619171142578,22.465993881225586,17.26954460144043
19_51,25.77726936340332,28.62929344177246,22.25653839111328,21.368785858154297,22.819082260131836,23.582796096801758,24.07295036315918,19.072465896606445
19_52,22.156524658203125,24.035497665405273,18.835830688476562,17.78529930114746,19.12456512451172,19.530311584472656,20.533708572387695,15.790732383728027
