,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,0.5703548146522798,0.4496922027911376,0.5559328861721081,0.4358244541524494,0.4145331733438523,0.5289071325653245,0.42680255844391607,0.36610987381708787
pi:2,0.7315341687373571,0.6915868505919891,0.679206929254083,0.7001361567850687,0.6688852231304143,0.6904597735878037,0.6421732777096112,0.6845036839513253
2:3pi,0.7168156269903355,0.7087938828204285,0.6859070975890562,0.6985963010809032,0.6601472477639482,0.6900521554859809,0.6429429439336004,0.696862778244891
45pi,0.7045879153851177,0.7163559206681902,0.6872652398191185,0.6975546339869091,0.6481495095664688,0.6808581027448642,0.6383249465896651,0.7097651294304814
pi,0.5741589915961254,0.5836353641904111,0.5728191212325475,0.583197703015805,0.4783249209674312,0.6199418419724406,0.5619468924796739,0.5838200732960511
