week,num_nodes,num_edges,density,assortativity
19_02,3319,4379,0.000398,0.003575
19_03,2995,3656,0.000408,-0.008936
19_04,3283,4184,0.000388,-0.006812
19_05,3323,4323,0.000392,-0.010479
19_06,3366,4451,0.000393,-0.021087
19_07,3372,4422,0.000389,0.000172
19_08,3025,3907,0.000427,0.02479
19_09,3156,3997,0.000401,0.008555
19_10,2664,3310,0.000467,0.017384
19_11,3343,4442,0.000398,0.018035
19_12,3088,4104,0.000431,-0.011366
19_13,2864,3658,0.000446,-0.012384
19_14,2293,2903,0.000552,0.014432
19_15,2772,3621,0.000471,-0.024928
19_16,1932,2301,0.000617,0.038591
19_17,2267,2789,0.000543,-0.015546
19_18,1622,2051,0.00078,0.04646
19_19,2550,3209,0.000494,0.02174
19_20,3838,5367,0.000364,0.003298
19_21,2352,2992,0.000541,-0.00886
19_22,2239,2828,0.000564,0.0124
19_23,2827,3838,0.00048,-0.042443
19_24,2228,2783,0.000561,-0.014853
19_25,2815,3554,0.000449,-0.012378
19_26,3624,5027,0.000383,-0.00161
19_27,2558,3270,0.0005,0.000374
19_28,2545,3211,0.000496,0.008171
19_29,3549,4659,0.00037,-0.00394
19_30,2660,3326,0.00047,-0.039059
19_31,3871,5421,0.000362,-0.006611
19_32,4261,6291,0.000347,0.011443
19_33,2959,3803,0.000434,0.050857
19_34,3164,4206,0.00042,-0.000701
19_35,2220,2754,0.000559,0.01083
19_36,2218,2820,0.000573,0.03307
19_37,3000,3891,0.000432,0.009795
19_38,2332,2923,0.000538,-0.005417
19_39,2147,2636,0.000572,0.027369
19_40,2119,2554,0.000569,0.020733
19_41,1520,1799,0.000779,-0.010496
19_42,2134,2715,0.000596,-0.000964
19_43,2409,3023,0.000521,0.012916
19_44,1738,2142,0.00071,-0.033853
19_45,2005,2462,0.000613,0.00621
19_46,2246,2843,0.000564,0.026732
19_47,1487,1789,0.00081,0.007686
19_48,1488,1783,0.000806,-0.050427
19_49,1751,2207,0.00072,-0.024101
19_50,1754,2186,0.000711,0.000722
19_51,1969,2451,0.000633,0.029784
19_52,1473,1846,0.000851,-0.007478
