,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,0.5975368349644398,0.47133129959010167,0.5973786007144127,0.41954637152125773,0.43227098012807197,0.5332489545136729,0.3985239227434097,0.38220719193630415
pi:2,0.7217897203192764,0.7139009954121903,0.7473344841133922,0.7213896968871022,0.7266842796434524,0.7123872751706098,0.699375296758546,0.7372949680979286
2:3pi,0.7175332439259254,0.7115015564650886,0.7485569505541448,0.7209821065002617,0.7241942394353414,0.7053231755693758,0.7096089527680914,0.733174990075398
45pi,0.6972017768981115,0.6933473108464516,0.7406335569566747,0.7160910218581744,0.7140982582279094,0.6845384209734371,0.7031789565143062,0.731273461757307
pi,0.6056875344410689,0.5319058148961776,0.5856972547249996,0.5865678544843838,0.6303876337770501,0.5754524213620716,0.5770242412815896,0.5625354607686068
