,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,-0.2544746937541538,-0.27818885692811374,-0.23474306180024826,-0.35974023486604456,-0.33901297010712544,-0.3522277327918512,-0.35969497882945306,-0.3283778015081167
pi:2,-0.127803047334471,-0.17179191490143483,-0.09372525178105151,-0.19469146941674725,-0.13241916306680673,-0.16916706477912627,-0.10644219806327047,-0.11685108647932158
2:3pi,-0.1190686322723064,-0.18496142154956904,-0.08494558068229535,-0.17491458142625013,-0.15568076587485136,-0.15323693989890894,-0.10526554111189078,-0.1257665256878523
45pi,-0.13490824507934068,-0.17934967301221977,-0.08245649866976139,-0.15703844697259717,-0.15396103648437337,-0.1518340027645716,-0.10712103861214337,-0.10639694202667895
pi,-0.33435159833819816,-0.28511303052661735,-0.22768312009197014,-0.3282420333983421,-0.24831987277770626,-0.3198244105923182,-0.2909963152835157,-0.2526191962539012
