,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
0,-0.2544746937541538,-0.27818885692811374,-0.23474306180024826,-0.35974023486604456,-0.33901297010712544,-0.3522277327918512,-0.35969497882945306,-0.3283778015081167
pi:2,-0.1802547937440503,-0.1812504265490639,-0.18002851356109265,-0.16785463971797204,-0.16491299733952278,-0.17437150898715184,-0.17677007892650276,-0.20066526624682876
2:3pi,-0.17409997276760267,-0.18147670673202151,-0.16744733538864826,-0.16961962514504156,-0.1759102142312637,-0.1914782908187489,-0.18002851356109265,-0.2075441838087408
45pi,-0.18170298691497913,-0.18699794319618773,-0.17115833038915343,-0.17704161514605188,-0.1908447063064675,-0.20908288905285272,-0.1710678183159704,-0.20745367173555776
pi,-0.36874618614775845,-0.36711696883046346,-0.35535039931666657,-0.3111352515667451,-0.3476568730961071,-0.37965289096631627,-0.3574321769998768,-0.39037857163850814
