week,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca
19_02,44.55207061767578,52.71383285522461,41.23550033569336,41.3885498046875,40.97362518310547,42.64204025268555,44.88161087036133,35.48512649536133
19_03,49.242523193359375,54.042301177978516,42.59219741821289,41.69546127319336,43.961692810058594,45.46591567993164,49.41611862182617,37.5811653137207
19_04,46.46521759033203,52.80646514892578,39.25115966796875,39.585205078125,40.59836959838867,43.106712341308594,46.56473922729492,36.11845397949219
19_05,47.964866638183594,54.88346862792969,41.83415985107422,42.701385498046875,42.18707275390625,44.99716567993164,45.98412322998047,37.51091003417969
19_06,50.27840042114258,55.607295989990234,43.13243103027344,41.215087890625,43.0062255859375,45.4620361328125,46.28657531738281,38.00688171386719
19_07,46.86454772949219,52.05103302001953,39.881866455078125,39.28670883178711,41.44401931762695,44.347755432128906,45.232784271240234,37.08583450317383
19_08,48.57355499267578,53.10881805419922,39.6491584777832,39.10830307006836,42.015743255615234,44.40940856933594,45.01778793334961,36.76789093017578
19_09,50.739341735839844,54.74302673339844,44.18730926513672,41.71294403076172,44.7566032409668,48.00595474243164,47.88279342651367,39.328514099121094
19_10,45.59223556518555,52.15412902832031,39.19472122192383,39.40273666381836,40.9239616394043,43.049129486083984,42.430938720703125,36.22016143798828
19_11,49.32323455810547,56.057342529296875,43.08662414550781,42.53514862060547,42.304054260253906,46.42494201660156,47.50025939941406,38.12324905395508
19_12,47.90473937988281,54.752052307128906,41.7869987487793,41.848472595214844,41.85888671875,42.8905029296875,45.05485153198242,37.555049896240234
19_13,43.156593322753906,50.262752532958984,38.8270149230957,38.036338806152344,38.17220687866211,39.45405960083008,42.9905891418457,34.95827865600586
19_14,38.43944549560547,45.6974983215332,35.2242317199707,33.77626037597656,36.02188491821289,37.769622802734375,38.555450439453125,31.500041961669922
19_15,44.193939208984375,50.33644485473633,38.34059524536133,38.165870666503906,40.252906799316406,42.5078010559082,42.48897171020508,35.34835433959961
19_16,39.772743225097656,45.06679153442383,34.02174377441406,32.59290313720703,35.69839859008789,36.35698699951172,38.95512771606445,30.62973976135254
19_17,43.05128479003906,45.51160430908203,37.22974395751953,36.487510681152344,37.4205322265625,38.76658630371094,39.24628829956055,31.70903778076172
19_18,38.743255615234375,44.66712188720703,32.61387252807617,34.02811813354492,33.844364166259766,35.56741714477539,35.7505989074707,30.369956970214844
19_19,40.36529541015625,45.27568435668945,35.852413177490234,33.932979583740234,35.820133209228516,38.51005935668945,38.84837341308594,31.68898582458496
19_20,46.41096496582031,52.51141357421875,38.5955924987793,39.37712097167969,40.591941833496094,42.558753967285156,44.33945846557617,35.14530944824219
19_21,40.76118087768555,42.439971923828125,34.60166549682617,34.029991149902344,33.844783782958984,39.482826232910156,38.892086029052734,31.818214416503906
19_22,44.11932373046875,52.41057205200195,38.07132339477539,36.28229904174805,36.939517974853516,39.077327728271484,42.09486770629883,35.9635009765625
19_23,45.38018035888672,47.674774169921875,37.171382904052734,37.94993209838867,39.39360427856445,39.56074523925781,43.166709899902344,34.42625427246094
19_24,40.11922836303711,43.72377395629883,36.44565200805664,33.523887634277344,33.5008659362793,37.91083526611328,38.699462890625,31.54608917236328
19_25,47.23859786987305,52.75110626220703,40.02493667602539,39.48141860961914,39.501399993896484,41.25770950317383,46.90293884277344,37.06657409667969
19_26,42.746490478515625,47.38531494140625,35.46097183227539,35.567405700683594,37.162967681884766,39.44071960449219,42.288490295410156,33.1059455871582
19_27,44.013423919677734,46.43156814575195,35.862674713134766,34.6359748840332,36.1004524230957,37.8032341003418,42.24488067626953,32.30819320678711
19_28,43.915489196777344,48.415496826171875,35.92078399658203,36.80279541015625,37.77627182006836,40.580684661865234,44.12407684326172,33.84744644165039
19_29,37.9075813293457,41.0294303894043,31.84217643737793,30.384868621826172,32.643856048583984,36.1038703918457,38.27742004394531,29.622547149658203
19_30,37.73706817626953,42.0714225769043,32.876399993896484,30.803762435913086,31.629661560058594,35.34090042114258,39.4320182800293,29.2288761138916
19_31,48.05624008178711,52.50095748901367,39.86659240722656,38.93475341796875,41.385929107666016,44.20613479614258,46.294097900390625,36.772056579589844
19_32,48.27357482910156,54.93491744995117,42.07771301269531,42.80678176879883,44.9875602722168,45.67173385620117,49.08870315551758,38.90675735473633
19_33,40.18950653076172,46.898258209228516,33.91564178466797,35.28065872192383,36.57356262207031,39.23838424682617,39.266090393066406,32.002342224121094
19_34,41.34577941894531,46.84476089477539,35.62370300292969,37.14228057861328,37.45231628417969,39.07902908325195,42.33451461791992,32.48707580566406
19_35,41.61850357055664,43.91234588623047,34.212059020996094,32.4697151184082,35.391578674316406,36.487117767333984,40.110111236572266,32.53179931640625
19_36,37.70621109008789,41.83399200439453,32.81624984741211,35.52045822143555,35.31288528442383,36.94475173950195,38.30561447143555,30.874557495117188
19_37,46.115089416503906,50.684139251708984,39.21603012084961,40.59745407104492,41.012001037597656,43.88225555419922,44.70927047729492,35.495182037353516
19_38,37.31504440307617,42.98224639892578,34.05097198486328,32.87579345703125,32.72538757324219,36.77076721191406,36.670921325683594,28.515501022338867
19_39,40.301605224609375,43.063724517822266,32.45631408691406,34.85162353515625,34.986881256103516,36.543067932128906,38.08991622924805,29.616506576538086
19_40,43.09663391113281,45.23796844482422,35.300289154052734,36.75416564941406,36.034217834472656,39.97675704956055,41.49383544921875,32.171966552734375
19_41,34.020999908447266,37.1235466003418,29.456058502197266,28.592435836791992,27.45950698852539,30.701339721679688,33.71507263183594,24.64589500427246
19_42,42.60247039794922,47.371971130371094,34.57535171508789,33.10783767700195,37.34074020385742,36.75223159790039,39.5872802734375,31.62977409362793
19_43,38.49776077270508,44.02314376831055,33.40096664428711,33.316375732421875,33.655479431152344,36.062408447265625,36.713111877441406,29.92864418029785
19_44,32.9109001159668,40.39373016357422,30.275758743286133,29.4630184173584,31.48054313659668,32.27800750732422,35.17744827270508,26.12542152404785
19_45,43.042354583740234,47.26943588256836,40.38104248046875,34.14224624633789,39.00465393066406,39.576438903808594,39.856361389160156,34.7576789855957
19_46,41.01301193237305,45.62803268432617,35.11894607543945,34.41779708862305,37.936119079589844,37.73381805419922,39.88465118408203,32.20427322387695
19_47,39.990089416503906,41.93221664428711,31.503768920898438,31.609378814697266,33.69119644165039,33.50761032104492,37.89052963256836,28.369848251342773
19_48,38.558902740478516,44.48866653442383,30.63559341430664,32.57479476928711,36.43642807006836,35.2210807800293,34.990726470947266,32.176727294921875
19_49,38.6483268737793,42.71770477294922,33.414241790771484,33.6409797668457,36.84189987182617,34.38788986206055,34.73891830444336,31.45140266418457
19_50,35.97700119018555,45.231990814208984,33.56678771972656,33.256446838378906,34.47032165527344,35.034507751464844,38.644561767578125,30.760507583618164
19_51,38.0706672668457,45.028053283691406,35.88115310668945,33.355186462402344,37.84385681152344,39.013736724853516,38.38747787475586,33.031654357910156
19_52,32.325984954833984,33.69831085205078,27.498746871948242,25.662158966064453,27.51872444152832,28.097013473510742,28.842418670654297,22.96651268005371
